VTX, IDX, s_attribute_0.x, s_attribute_0.y, s_attribute_1.x, s_attribute_1.y, s_attribute_1.z, s_attribute_1.w, s_attribute_2.x, s_attribute_2.y, s_attribute_2.z, s_attribute_2.w, s_attribute_3.x, s_attribute_3.y, s_attribute_3.z, s_attribute_3.w
720, 39488, -6.59832, -10.92251,  0.15198, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
721, 39534, -7.18852, -10.78067,  0.27661, -2.48438,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.60938, -0.92383, -0.38232,  0.0057, -1.00
722, 39526, -7.0625, -11.11477,  0.27661, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
723, 39534, -7.18852, -10.78067,  0.27661, -2.48438,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.60938, -0.92383, -0.38232,  0.0057, -1.00
724, 39566, -7.6527, -10.97293,  0.40137, -2.48438,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.60938, -0.92383, -0.38232,  0.0057, -1.00
725, 39526, -7.0625, -11.11477,  0.27661, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
726, 39526, -7.0625, -11.11477,  0.27661, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
727, 39566, -7.6527, -10.97293,  0.40137, -2.48438,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.60938, -0.92383, -0.38232,  0.0057, -1.00
728, 39557, -7.52667, -11.30704,  0.40137, -2.54883,  0.00,  0.00, -0.01082,  0.04102,  0.99902,  22.625, -0.92383, -0.38232,  0.0057, -1.00
729, 39419, -5.77575, -8.51854, -0.22205, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.99512, -0.09766,  0.00636, -1.00
730, 39461, -6.26851, -8.61656, -0.09735, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
731, 39413, -5.72006, -8.87961, -0.22205, -2.15625,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.53125, -0.98047, -0.19434,  0.01176, -1.00
732, 39413, -5.72006, -8.87961, -0.22205, -2.15625,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.53125, -0.98047, -0.19434,  0.01176, -1.00
733, 39461, -6.26851, -8.61656, -0.09735, -2.08789,  0.00,  0.00,  0.0009,  0.05588,  0.99805,  22.51563, -0.98047, -0.19434,  0.01176, -1.00
